video_id,segment_id,start,end,n_viewers_reached,completion_rate,dropoff_rate,n_pauses,n_replays,n_seeks,avg_pause_rate,avg_replay_rate,retention_next,dropoff_velocity,completion_acceleration,dropoff_trend_3seg,dropoff_relative_score,is_relative_outlier,expected_completion,attrition_residual,residual_norm,pause_norm,dropoff_norm,bored_score,is_bored
v3,22,330,345,254,0.6773,0.0394,59,4,27,0.2323,0.0157,0.6507,0.0088999999999999,-0.0187999999999999,0.0245666666666666,-0.3583401417159897,False,0.5155962524195274,-0.16170374758047257,0.0,0.4317041442111132,0.0394,0.10210082884222264,False
v3,23,345,360,244,0.6507,0.0861,101,2,12,0.4139,0.0082,0.5947,0.0467,-0.0052,0.052,-0.1415648168517677,False,0.4935789310875407,-0.15712106891245925,0.013516248900498953,0.7691878832930682,0.0861,0.19368407621881323,False
v3,24,360,375,223,0.5947,0.1166,120,1,17,0.5381,0.0045,0.5253,0.0305,-0.0293999999999998,0.0807,1.2215447135352054e-05,False,0.4715616993898948,-0.12313830061010522,0.11374574085868755,1.0,0.1166,0.29213829634347505,False
v3,25,375,390,197,0.5253,0.0914,85,3,11,0.4315,0.0152,0.4773,-0.0252,-0.0134,0.0980333333333333,-0.1169629063211386,False,0.4495445573265897,-0.07575544267341028,0.25349773917346224,0.8018955584463854,0.0914,0.298338207358662,True
v3,26,390,405,179,0.4773,0.1564,63,1,15,0.352,0.0056,0.4027,0.065,0.0214,0.1214666666666666,0.1847586379224253,False,0.427527504896716,-0.04977249510328402,0.3301323915172386,0.6541535030663445,0.1564,0.32544365722016433,True
v3,27,405,420,151,0.4027,0.0861,32,2,7,0.2119,0.0132,0.368,-0.0703,-0.0266,0.1113,-0.1415648168517677,False,0.4055105421011831,0.002810542101183089,0.4852219079960119,0.39379297528340457,0.0861,0.3072873582550857,True
v3,28,420,435,138,0.368,0.0652,15,5,15,0.1087,0.0362,0.344,-0.0209,0.0398999999999999,0.1025666666666666,-0.2385798980008521,False,0.38349366893726256,0.015493668937262561,0.5226297891877703,0.2020070618844081,0.0652,0.2755333280519897,False
v3,29,435,450,129,0.344,0.031,6,2,6,0.0465,0.0155,0.3333,-0.0341999999999999,0.0106999999999999,0.0607666666666666,-0.3973318489720811,False,0.36147688540677336,0.01747688540677339,0.528479129577394,0.08641516446757108,0.031,0.2410746847244718,False
v3,30,450,465,125,0.3333,0.152,7,1,12,0.056,0.008,0.2827,0.121,0.0133,0.0827333333333333,0.1643344103120917,False,0.339460191508806,0.006160191508806034,0.49510143444827087,0.10406987548782753,0.152,0.27965454887687385,False
v3,31,465,480,106,0.2827,0.1981,2,2,4,0.0189,0.0189,0.2267,0.0461,-0.0398999999999999,0.1270333333333333,0.3783246132294501,False,0.31744358724245103,0.034743587242451024,0.57940590332889,0.03512358297714179,0.1981,0.31802707792698437,True
v3,32,480,495,85,0.2267,0.2,1,0,5,0.0118,0.0,0.1813,0.0019,-0.0054,0.1833666666666666,0.3871441660611851,False,0.2954270726077084,0.06872707260770838,0.6796375102074953,0.021929009477792232,0.2,0.35624080597855656,True
v3,33,495,510,68,0.1813,0.2647,0,4,0,0.0,0.0588,0.1333,0.0646999999999999,0.0105999999999999,0.2209333333333333,0.6874731493313172,False,0.2734106476045781,0.09211064760457813,0.748605518382983,0.0,0.2647,0.40532220735319324,True
v3,34,510,525,50,0.1333,0.32,1,0,0,0.02,0.0,0.0907,0.0553,-0.0025999999999999,0.2615666666666666,0.9441685554339186,False,0.2513943122321507,0.1180943122321507,0.8252422856310813,0.03716781267422412,0.32,0.4655304767872774,True
v3,35,525,540,34,0.0907,0.3824,2,0,1,0.0588,0.0,0.056,0.0624,0.0053999999999999,0.3223666666666667,1.23382123790774,True,0.22937806649042614,0.13867806649042613,0.8859524436012379,0.10927336926221891,0.3824,0.529195651292939,True
v3,36,540,555,21,0.056,0.8571,0,1,1,0.0,0.0476,0.008,0.4746999999999999,0.0078999999999999,0.5198333333333333,3.437316884868044,True,0.20736191037849494,0.15136191037849495,0.9233624396812232,0.0,0.8571,0.7121849758724894,True
v3,37,555,559,3,0.008,1.0,0,0,1,0.0,0.0,0.008,0.1429,-0.0133,0.7464999999999998,4.100640095212741,True,0.1853458438963571,0.1773458438963571,1.0,0.0,1.0,0.8,True
v4,0,0,15,392,1.0,0.0051,49,17,64,0.125,0.0434,0.9949,0.0,0.0,0.0051,-0.4123285960078214,False,1.0,0.0,0.40493247594669163,0.4530627038782168,0.0051,0.25462553115432,False
