video_id,segment_id,start,end,n_viewers_reached,completion_rate,dropoff_rate,n_pauses,n_replays,n_seeks,avg_pause_rate,avg_replay_rate,retention_next,dropoff_velocity,completion_acceleration,dropoff_trend_3seg,dropoff_relative_score,is_relative_outlier
v2,33,495,510,173,0.4753,0.052,20,1,6,0.1156,0.0058,0.4505,-0.0278,-0.00819999999999993,0.06393333333333333,-0.20985412251166508,False
v2,34,510,525,164,0.4505,0.0366,19,5,8,0.1159,0.0305,0.4341,-0.015399999999999997,0.01639999999999997,0.056133333333333334,-0.30473825306597047,False
v2,35,525,540,158,0.4341,0.0759,14,0,3,0.0886,0.0,0.4011,0.039299999999999995,0.008399999999999963,0.054833333333333324,-0.06259888093712618,False
v2,36,540,555,146,0.4011,0.0137,3,1,7,0.0205,0.0068,0.3956,-0.06219999999999999,-0.016599999999999948,0.04206666666666667,-0.4458321874616583,False
v2,37,555,570,144,0.3956,0.0278,8,2,8,0.0556,0.0139,0.3846,0.014099999999999998,0.02749999999999997,0.03913333333333333,-0.35895775623985926,False
v2,38,570,585,140,0.3846,0.0071,0,2,2,0.0,0.0143,0.3819,-0.020699999999999996,-0.005500000000000005,0.0162,-0.48649681484207496,False
v2,39,585,600,139,0.3819,0.0647,5,2,7,0.036,0.0144,0.3571,0.05759999999999999,0.00830000000000003,0.0332,-0.13160552134025738,False
v2,40,600,615,130,0.3571,0.1231,2,1,8,0.0154,0.0077,0.3132,0.05840000000000001,-0.022100000000000064,0.06496666666666666,0.22821481790464107,False
v2,41,615,630,114,0.3132,0.1404,3,0,4,0.0263,0.0,0.2692,0.017299999999999996,-0.01909999999999995,0.1094,0.33480543209876334,False
v2,42,630,645,98,0.2692,0.1429,2,0,1,0.0204,0.0,0.2308,0.0025000000000000022,-9.999999999998899e-05,0.13546666666666665,0.35020870004589083,False
v2,43,645,660,84,0.2308,0.1429,1,0,1,0.0119,0.0,0.1978,0.0,0.005599999999999994,0.14206666666666667,0.35020870004589083,False
v2,44,660,675,72,0.1978,0.1806,0,2,3,0.0,0.0278,0.1621,0.03770000000000001,0.005399999999999988,0.15546666666666667,0.5824899806885736,False
v2,45,675,690,59,0.1621,0.2712,0,1,2,0.0,0.0169,0.1181,0.09059999999999999,-0.002700000000000008,0.19823333333333334,1.1407044110924742,True
v2,46,690,705,43,0.1181,0.3256,1,0,0,0.0233,0.0,0.0797,0.054400000000000004,-0.008299999999999988,0.2591333333333334,1.4758795216219687,True
v2,47,705,720,29,0.0797,0.5172,0,0,0,0.0,0.0,0.0385,0.1916,0.005599999999999994,0.3713333333333333,2.65638597708982,True
v2,48,720,735,14,0.0385,0.7857,0,0,2,0.0,0.0,0.0082,0.26849999999999996,-0.00279999999999999,0.5428333333333333,4.310696954611314,True
v2,49,735,737,3,0.0082,0.6667,0,0,0,0.0,0.0,0.0082,-0.119,0.010899999999999993,0.6565333333333333,3.5775014003280443,True
v3,0,0,15,375,1.0,0.016,75,21,118,0.2,0.056,0.984,0.0,0.0,0.016,-0.4669598976436728,False
v3,1,15,30,369,0.984,0.0461,62,19,82,0.168,0.0515,0.9387,0.030100000000000002,0.0,0.03105,-0.3272396133093455,False
v3,2,30,45,352,0.9387,0.0369,45,16,51,0.1278,0.0455,0.904,-0.0092,-0.029299999999999993,0.033,-0.3699448164945884,False
v3,3,45,60,339,0.904,0.0413,45,16,44,0.1327,0.0472,0.8667,0.004400000000000001,0.010600000000000054,0.041433333333333336,-0.3495205888842548,False
v3,4,60,75,325,0.8667,0.0308,28,7,31,0.0862,0.0215,0.84,-0.010500000000000002,-0.0026000000000000467,0.036333333333333336,-0.39826022295436897,False
v3,5,75,90,315,0.84,0.0317,24,8,43,0.0762,0.0254,0.8133,0.000899999999999998,0.010599999999999943,0.0346,-0.39408254003407356,False
v3,6,90,105,305,0.8133,0.0131,12,3,31,0.0393,0.0098,0.8027,-0.0186,1.1102230246251565e-16,0.0252,-0.4804213203868472,False
v3,7,105,120,301,0.8027,0.0166,19,7,20,0.0631,0.0233,0.7893,0.0034999999999999996,0.016099999999999892,0.020466666666666664,-0.4641747756968091,False
v3,8,120,135,296,0.7893,0.0,14,5,24,0.0473,0.0169,0.7893,-0.0166,-0.0027999999999999137,0.0099,-0.541229816226704,False
v3,9,135,150,296,0.7893,0.0101,20,8,33,0.0676,0.027,0.7813,0.0101,0.013399999999999967,0.0089,-0.49434693012116554,False
v3,10,150,165,293,0.7813,0.0137,23,5,23,0.0785,0.0171,0.7707,0.0036000000000000008,-0.008000000000000007,0.007933333333333334,-0.4776361984399835,False
v3,11,165,180,289,0.7707,0.0069,18,9,17,0.0623,0.0311,0.7653,-0.0068000000000000005,-0.0025999999999999357,0.010233333333333332,-0.5092009138377718,False
v3,12,180,195,287,0.7653,0.0139,17,6,30,0.0592,0.0209,0.7547,0.006999999999999999,0.005199999999999871,0.011500000000000002,-0.47670782445769566,False
v3,13,195,210,283,0.7547,0.0106,16,6,27,0.0565,0.0212,0.7467,-0.003299999999999999,-0.005199999999999871,0.010466666666666666,-0.4920259951654458,False
v3,14,210,225,280,0.7467,0.0107,14,8,23,0.05,0.0286,0.7387,9.99999999999994e-05,0.0025999999999999357,0.011733333333333333,-0.49156180817430184,False
v3,15,225,240,277,0.7387,0.0072,12,5,25,0.0433,0.0181,0.7333,-0.0034999999999999996,0.0,0.0095,-0.5078083528643399,False
v3,16,240,255,275,0.7333,0.0109,11,7,26,0.04,0.0255,0.7253,0.0037,0.0025999999999999357,0.0096,-0.49063343419201394,False
v3,17,255,270,272,0.7253,0.011,19,6,22,0.0699,0.0221,0.7173,9.99999999999994e-05,-0.0025999999999999357,0.009699999999999999,-0.49016924720087,False
v3,18,270,285,269,0.7173,0.0074,15,3,23,0.0558,0.0112,0.712,-0.003599999999999999,1.1102230246251565e-16,0.009766666666666667,-0.506879978882052,False
v3,19,285,300,267,0.712,0.015,19,3,21,0.0712,0.0112,0.7013,0.007599999999999999,0.0026999999999998137,0.011133333333333334,-0.47160176755511224,False
v3,20,300,315,263,0.7013,0.0038,18,3,21,0.0684,0.0114,0.6987,-0.0112,-0.005399999999999849,0.008733333333333334,-0.523590710563234,False
v3,21,315,330,262,0.6987,0.0305,32,3,21,0.1221,0.0115,0.6773,0.026699999999999998,0.008099999999999885,0.01643333333333333,-0.39965278392780085,False
v3,22,330,345,254,0.6773,0.0394,59,4,27,0.2323,0.0157,0.6507,0.008899999999999998,-0.018799999999999928,0.024566666666666667,-0.35834014171598977,False
v3,23,345,360,244,0.6507,0.0861,101,2,12,0.4139,0.0082,0.5947,0.0467,-0.0052000000000000934,0.052,-0.14156481685176772,False
v3,24,360,375,223,0.5947,0.1166,120,1,17,0.5381,0.0045,0.5253,0.0305,-0.02939999999999987,0.0807,1.2215447135352054e-05,False
v3,25,375,390,197,0.5253,0.0914,85,3,11,0.4315,0.0152,0.4773,-0.0252,-0.013400000000000079,0.09803333333333335,-0.11696290632113866,False
v3,26,390,405,179,0.4773,0.1564,63,1,15,0.352,0.0056,0.4027,0.06500000000000002,0.02140000000000003,0.12146666666666667,0.18475863792242533,False
v3,27,405,420,151,0.4027,0.0861,32,2,7,0.2119,0.0132,0.368,-0.07030000000000002,-0.026600000000000013,0.11130000000000001,-0.14156481685176772,False
v3,28,420,435,138,0.368,0.0652,15,5,15,0.1087,0.0362,0.344,-0.020900000000000002,0.03989999999999999,0.10256666666666665,-0.23857989800085214,False
v3,29,435,450,129,0.344,0.031,6,2,6,0.0465,0.0155,0.3333,-0.034199999999999994,0.010699999999999987,0.06076666666666666,-0.3973318489720811,False
v3,30,450,465,125,0.3333,0.152,7,1,12,0.056,0.008,0.2827,0.121,0.013300000000000034,0.08273333333333333,0.1643344103120917,False
v3,31,465,480,106,0.2827,0.1981,2,2,4,0.0189,0.0189,0.2267,0.0461,-0.03989999999999999,0.12703333333333333,0.37832461322945016,False
v3,32,480,495,85,0.2267,0.2,1,0,5,0.0118,0.0,0.1813,0.0019000000000000128,-0.005400000000000016,0.18336666666666668,0.3871441660611851,False
v3,33,495,510,68,0.1813,0.2647,0,4,0,0.0,0.0588,0.1333,0.06469999999999998,0.01059999999999997,0.22093333333333334,0.6874731493313172,False
v3,34,510,525,50,0.1333,0.32,1,0,0,0.02,0.0,0.0907,0.055300000000000016,-0.0025999999999999635,0.26156666666666667,0.9441685554339186,False
v3,35,525,540,34,0.0907,0.3824,2,0,1,0.0588,0.0,0.056,0.06240000000000001,0.005399999999999988,0.3223666666666667,1.23382123790774,True
v3,36,540,555,21,0.056,0.8571,0,1,1,0.0,0.0476,0.008,0.47469999999999996,0.007899999999999997,0.5198333333333333,3.437316884868044,True
v3,37,555,559,3,0.008,1.0,0,0,1,0.0,0.0,0.008,0.14290000000000003,-0.0133,0.7464999999999998,4.100640095212741,True
v4,0,0,15,392,1.0,0.0051,49,17,64,0.125,0.0434,0.9949,0.0,0.0,0.0051,-0.4123285960078214,False
v4,1,15,30,390,0.9949,0.0256,42,22,57,0.1077,0.0564,0.9694,0.0205,0.0,0.01535,-0.2876912439293819,False
v4,2,30,45,380,0.9694,0.0316,41,6,56,0.1079,0.0158,0.9388,0.006000000000000002,-0.020399999999999974,0.02076666666666667,-0.2512120189308142,False
v4,3,45,60,368,0.9388,0.0272,32,10,45,0.087,0.0272,0.9133,-0.004400000000000005,-0.0051000000000001044,0.028133333333333333,-0.27796345059643046,False
v4,4,60,75,358,0.9133,0.0223,33,9,27,0.0922,0.0251,0.8929,-0.004899999999999998,0.0051000000000001044,0.027033333333333336,-0.3077548176785941,False
v4,5,75,90,350,0.8929,0.0171,27,8,30,0.0771,0.0229,0.8776,-0.0052,0.005099999999999993,0.0222,-0.33937014601068605,False
v4,6,90,105,344,0.8776,0.032,32,5,26,0.093,0.0145,0.8495,0.0149,0.005099999999999993,0.0238,-0.24878007059757637,False
v4,7,105,120,333,0.8495,0.024,25,6,20,0.0751,0.018,0.8291,-0.008,-0.012800000000000034,0.024366666666666665,-0.29741903726233326,False
v4,8,120,135,325,0.8291,0.0277,20,9,28,0.0615,0.0277,0.8061,0.0036999999999999984,0.007699999999999929,0.027900000000000005,-0.27492351517988317,False
v4,9,135,150,316,0.8061,0.0095,16,10,25,0.0506,0.0316,0.7985,-0.0182,-0.0025999999999998247,0.0204,-0.3855771643422051,False
v4,10,150,165,313,0.7985,0.0,13,7,22,0.0415,0.0224,0.7985,-0.0095,0.015399999999999858,0.012400000000000001,-0.44333593725660386,False
v4,11,165,180,313,0.7985,0.0096,17,8,35,0.0543,0.0256,0.7908,0.0096,0.007600000000000051,0.006366666666666669,-0.3849691772588956,False
v4,12,180,195,310,0.7908,0.0032,14,2,22,0.0452,0.0065,0.7883,-0.0063999999999999994,-0.00770000000000004,0.004266666666666669,-0.42388035059070117,False
v4,13,195,210,309,0.7883,0.0065,25,6,22,0.0809,0.0194,0.7832,0.0032999999999999995,0.0052000000000000934,0.006433333333333335,-0.40381677684148887,False
v4,14,210,225,307,0.7832,0.0293,38,2,16,0.1238,0.0065,0.7602,0.0228,-0.0026000000000000467,0.013000000000000003,-0.2651957218469318,False
v4,15,225,240,298,0.7602,0.0369,54,3,23,0.1812,0.0101,0.7321,0.007600000000000003,-0.017900000000000027,0.02423333333333334,-0.21898870351541277,False
v4,16,240,255,287,0.7321,0.0627,72,8,15,0.2509,0.0279,0.6862,0.025800000000000003,-0.005099999999999993,0.042966666666666674,-0.06212803602157181,False
v4,17,255,270,269,0.6862,0.0297,50,1,14,0.1859,0.0037,0.6658,-0.033,-0.017799999999999927,0.043100000000000006,-0.26276377351369395,False
v4,18,270,285,261,0.6658,0.0192,72,2,8,0.2759,0.0077,0.6531,-0.010500000000000002,0.025499999999999856,0.037200000000000004,-0.3266024172611874,False
v4,19,285,300,256,0.6531,0.0586,70,4,14,0.2734,0.0156,0.6148,0.039400000000000004,0.007700000000000151,0.035833333333333335,-0.08705550643725975,False
v4,20,300,315,241,0.6148,0.0622,40,4,7,0.166,0.0166,0.5765,0.003599999999999999,-0.025600000000000067,0.04666666666666667,-0.06516797143811916,False
v4,21,315,330,226,0.5765,0.0265,28,2,14,0.1239,0.0088,0.5612,-0.035699999999999996,0.0,0.049100000000000005,-0.28221936017959676,False
v4,22,330,345,220,0.5612,0.0318,20,1,8,0.0909,0.0045,0.5434,0.005300000000000003,0.02300000000000002,0.04016666666666667,-0.2499960447641953,False
v4,23,345,360,213,0.5434,0.0329,14,2,12,0.0657,0.0094,0.5255,0.0010999999999999968,-0.0025000000000000577,0.0304,-0.24330818684779124,False
v4,24,360,375,206,0.5255,0.034,13,5,9,0.0631,0.0243,0.5077,0.0011000000000000038,-9.999999999998899e-05,0.032900000000000006,-0.23662032893138712,False
v4,25,375,390,199,0.5077,0.0151,10,2,10,0.0503,0.0101,0.5,-0.0189,0.00010000000000010001,0.027333333333333334,-0.35152988767687526,False
v4,26,390,405,196,0.5,0.0051,6,5,14,0.0306,0.0255,0.4974,-0.01,0.010099999999999887,0.018066666666666672,-0.4123285960078214,False
v4,27,405,420,195,0.4974,0.0051,6,1,8,0.0308,0.0051,0.4949,0.0,0.005100000000000049,0.008433333333333336,-0.4123285960078214,False
v4,28,420,435,194,0.4949,0.0103,2,4,17,0.0103,0.0206,0.4898,0.0052,9.999999999998899e-05,0.006833333333333336,-0.3807132676757294,False
v4,29,435,450,192,0.4898,0.0156,2,2,7,0.0104,0.0104,0.4821,0.005299999999999999,-0.002599999999999991,0.010333333333333335,-0.348489952260328,False
v4,30,450,465,189,0.4821,0.0053,1,1,4,0.0053,0.0053,0.4796,-0.0103,-0.0026000000000000467,0.010400000000000001,-0.41111262184120245,False
v4,31,465,480,188,0.4796,0.0106,4,5,5,0.0213,0.0266,0.4745,0.0053,0.0052000000000000934,0.010500000000000002,-0.37888930642580104,False
v4,32,480,495,186,0.4745,0.0108,4,1,8,0.0215,0.0054,0.4694,0.00020000000000000052,-0.0026000000000001022,0.008900000000000003,-0.3776733322591821,False
v4,33,495,510,184,0.4694,0.0217,0,2,6,0.0,0.0109,0.4592,0.0109,5.551115123125783e-17,0.014366666666666672,-0.3114027401784509,False
v4,34,510,525,180,0.4592,0.0111,5,0,9,0.0278,0.0,0.4541,-0.0106,-0.005099999999999993,0.014533333333333337,-0.37584937100925375,False
v4,35,525,540,178,0.4541,0.0112,4,2,12,0.0225,0.0112,0.449,9.99999999999994e-05,0.005099999999999993,0.01466666666666667,-0.37524138392594425,False
v4,36,540,555,176,0.449,0.0,4,0,8,0.0227,0.0,0.449,-0.0112,0.0,0.007433333333333336,-0.44333593725660386,False
v4,37,555,570,176,0.449,0.0114,4,3,6,0.0227,0.017,0.4439,0.0114,0.005099999999999993,0.007533333333333336,-0.37402540975932536,False
v4,38,570,585,174,0.4439,0.0057,3,2,7,0.0172,0.0115,0.4413,-0.0057,-0.005099999999999993,0.005700000000000003,-0.4086806735079646,False
v4,39,585,600,173,0.4413,0.0173,5,2,4,0.0289,0.0116,0.4337,0.0116,0.0025000000000000022,0.011466666666666668,-0.33815417184406715,False
v4,40,600,615,170,0.4337,0.0118,5,3,7,0.0294,0.0176,0.4286,-0.0055,-0.00500000000000006,0.011600000000000001,-0.3715934614260875,False
v4,41,615,630,168,0.4286,0.0119,3,0,6,0.0179,0.0,0.4235,0.00010000000000000113,0.0025000000000000577,0.013666666666666669,-0.370985474342778,False
v4,42,630,645,166,0.4235,0.0181,7,4,9,0.0422,0.0241,0.4158,0.006200000000000001,0.0,0.013933333333333334,-0.3332902751775914,False
v4,43,645,660,163,0.4158,0.0061,1,0,3,0.0061,0.0,0.4133,-0.012,-0.002599999999999991,0.012033333333333335,-0.4062487251747268,False
v4,44,660,675,162,0.4133,0.0062,3,1,6,0.0185,0.0062,0.4107,9.99999999999994e-05,0.005199999999999982,0.010133333333333336,-0.4056407380914173,False
v4,45,675,690,161,0.4107,0.0248,3,2,5,0.0186,0.0124,0.4005,0.0186,-9.999999999998899e-05,0.012366666666666666,-0.2925551405958575,False
v4,46,690,705,157,0.4005,0.0127,2,1,9,0.0127,0.0064,0.3954,-0.0121,-0.007599999999999996,0.014566666666666667,-0.3661215776763023,False
v4,47,705,720,155,0.3954,0.1032,5,3,6,0.0323,0.0194,0.3546,0.0905,0.005099999999999938,0.0469,0.18410673271875985,False
v4,48,720,735,139,0.3546,0.0432,2,1,2,0.0144,0.0072,0.3393,-0.06,-0.0356999999999999,0.05303333333333334,-0.18068551726691673,False
v4,49,735,750,133,0.3393,0.1053,1,0,3,0.0075,0.0,0.3036,0.0621,0.02549999999999991,0.08390000000000002,0.19687446146825857,False
v4,50,750,765,119,0.3036,0.1008,1,1,4,0.0084,0.0084,0.273,-0.004500000000000004,-0.020399999999999974,0.08310000000000001,0.1695150427193328,False
v4,51,765,780,107,0.273,0.1402,5,0,2,0.0467,0.0,0.2347,0.03939999999999999,0.005100000000000049,0.11543333333333333,0.40906195354326036,False
v4,52,780,795,92,0.2347,0.2065,4,1,5,0.0435,0.0109,0.1862,0.0663,-0.007700000000000068,0.14916666666666667,0.812157389777433,False
v4,53,795,810,73,0.1862,0.1507,1,1,2,0.0137,0.0137,0.1582,-0.05579999999999999,-0.010199999999999959,0.16579999999999998,0.47290059729075384,False
v4,54,810,825,62,0.1582,0.2742,0,0,1,0.0,0.0,0.1148,0.1235,0.02049999999999999,0.21046666666666666,1.223764645177938,True
v4,55,825,840,45,0.1148,0.1778,1,1,1,0.0222,0.0222,0.0944,-0.09639999999999999,-0.015400000000000011,0.2009,0.6376650968676179,False
v4,56,840,855,37,0.0944,0.4054,0,1,2,0.0,0.027,0.0561,0.22759999999999997,0.023000000000000007,0.2858,2.021443698479951,True
v4,57,855,870,22,0.0561,0.6818,1,0,1,0.0455,0.0,0.0179,0.2764,-0.0179,0.42166666666666663,3.701919996747301,True
v4,58,870,882,7,0.0179,1.0,0,0,0,0.0,0.0,0.0179,0.31820000000000004,0.00010000000000000286,0.6957333333333334,5.636534895838007,True
v5,0,0,15,393,1.0,0.0382,73,31,100,0.1858,0.0789,0.9618,0.0,0.0,0.0382,-0.3282834445517419,False
v5,1,15,30,378,0.9618,0.0265,46,17,95,0.1217,0.045,0.9364,-0.011699999999999999,0.0,0.03235,-0.3892907186947791,False
v5,2,30,45,368,0.9364,0.0326,58,15,46,0.1576,0.0408,0.9059,0.006099999999999998,0.012800000000000034,0.032433333333333335,-0.35748350738943496,False
v5,3,45,60,356,0.9059,0.0365,38,8,39,0.1067,0.0225,0.8728,0.0039000000000000007,-0.005099999999999993,0.03186666666666666,-0.33714774934175584,False
v5,4,60,75,343,0.8728,0.0641,45,10,33,0.1312,0.0292,0.8168,0.027600000000000006,-0.0026000000000000467,0.0444,-0.19323315392741178,False
v5,5,75,90,321,0.8168,0.0249,29,11,31,0.0903,0.0343,0.7964,-0.039200000000000006,-0.02290000000000003,0.041833333333333333,-0.3976335937912628,False
v5,6,90,105,313,0.7964,0.0064,13,12,24,0.0415,0.0383,0.7913,-0.0185,0.035600000000000076,0.0318,-0.4940980870943557,False
v5,7,105,120,311,0.7913,0.0096,24,7,36,0.0772,0.0225,0.7837,0.003199999999999999,0.01529999999999998,0.013633333333333338,-0.4774123369013883,False
v5,8,120,135,308,0.7837,0.013,23,6,30,0.0747,0.0195,0.7735,0.0034000000000000002,-0.0025000000000000577,0.00966666666666667,-0.4596837273213604,False
v5,9,135,150,304,0.7735,0.0197,16,7,27,0.0526,0.023,0.7583,0.006699999999999999,-0.0025999999999999357,0.014100000000000007,-0.4247479378548349,False
v5,10,150,165,298,0.7583,0.0101,18,7,21,0.0604,0.0235,0.7506,-0.0096,-0.0050000000000000044,0.014266666666666672,-0.47480518843373715,False
v5,11,165,180,295,0.7506,0.0034,8,5,24,0.0271,0.0169,0.7481,-0.006699999999999999,0.007500000000000062,0.01106666666666667,-0.5097409779002627,False
