user_id,completion_ratio,n_pauses,n_replays,n_seeks,cluster,persona_label
u100_v21,0.11964056482670091,4.0,0.0,0.0,0,Décrocheur rapide
u100_v26,0.9819969742813919,3.0,1.0,2.0,2,Engagé fluide
u100_v28,0.11435986159169549,4.0,0.0,2.0,0,Décrocheur rapide
u1010_v12,0.28781249999999997,4.0,1.0,2.0,0,Décrocheur rapide
u1010_v13,0.06587677725118483,2.0,1.0,2.0,0,Décrocheur rapide
u1010_v8,0.7274052478134111,8.0,0.0,1.0,1,Zappeur (replay/seek fréquents)
u1011_v10,0.9881379310344828,2.0,0.0,6.0,1,Zappeur (replay/seek fréquents)
u1011_v4,0.019501133786848073,4.0,1.0,1.0,0,Décrocheur rapide
u1011_v7,0.029960317460317458,4.0,2.0,3.0,3,Zappeur (replay/seek fréquents)
u1012_v5,0.8362962962962963,4.0,0.0,0.0,2,Engagé fluide
u1013_v14,0.8372905027932961,6.0,0.0,2.0,1,Zappeur (replay/seek fréquents)
u1013_v20,0.5231884057971015,1.0,0.0,2.0,2,Engagé fluide
u1013_v24,0.28787061994609164,3.0,1.0,2.0,0,Décrocheur rapide
u1014_v11,0.5111416781292986,3.0,0.0,0.0,2,Engagé fluide
u1014_v2,0.4516960651289009,2.0,0.0,2.0,0,Décrocheur rapide
u1014_v26,0.9093797276853253,5.0,1.0,1.0,1,Zappeur (replay/seek fréquents)
u1014_v9,0.03959731543624161,1.0,0.0,3.0,0,Décrocheur rapide
u1015_v18,0.9453441295546559,4.0,1.0,1.0,2,Engagé fluide
u1015_v21,0.2944801026957638,3.0,0.0,2.0,0,Décrocheur rapide
u1015_v23,0.8606860158311346,1.0,1.0,3.0,2,Engagé fluide
u1015_v25,0.5008064516129033,2.0,0.0,0.0,2,Engagé fluide
u1016_v15,0.8875,4.0,1.0,1.0,2,Engagé fluide
u1016_v17,0.9396732788798132,5.0,1.0,4.0,1,Zappeur (replay/seek fréquents)
u1016_v27,0.4752981260647359,4.0,0.0,2.0,1,Zappeur (replay/seek fréquents)
u1016_v30,0.38892215568862276,2.0,0.0,3.0,0,Décrocheur rapide
u1018_v10,0.9951724137931034,3.0,2.0,3.0,3,Zappeur (replay/seek fréquents)
u1018_v29,0.6476888387824127,5.0,1.0,2.0,1,Zappeur (replay/seek fréquents)
u1018_v9,0.14228187919463087,3.0,0.0,2.0,0,Décrocheur rapide
u101_v20,0.8326745718050066,1.0,1.0,1.0,2,Engagé fluide
u101_v29,0.08838782412626833,1.0,0.0,4.0,0,Décrocheur rapide
u1020_v2,0.2592944369063772,2.0,1.0,2.0,0,Décrocheur rapide
u1020_v8,0.8507288629737609,1.0,1.0,1.0,2,Engagé fluide
u1021_v2,0.22021709633649933,2.0,2.0,1.0,3,Zappeur (replay/seek fréquents)
u1021_v4,0.24467120181405896,1.0,0.0,0.0,0,Décrocheur rapide
u1021_v9,0.7869127516778524,2.0,0.0,1.0,2,Engagé fluide
u1022_v1,0.07663934426229507,1.0,2.0,2.0,3,Zappeur (replay/seek fréquents)
u1022_v17,0.13010501750291714,3.0,2.0,1.0,3,Zappeur (replay/seek fréquents)
u1022_v19,0.778498985801217,2.0,0.0,5.0,1,Zappeur (replay/seek fréquents)
u1022_v22,0.5795665634674922,2.0,0.0,3.0,2,Engagé fluide
u1023_v13,0.8962085308056872,2.0,0.0,0.0,2,Engagé fluide
u1023_v20,0.9408432147562583,2.0,0.0,2.0,2,Engagé fluide
u1023_v24,0.306199460916442,1.0,0.0,3.0,0,Décrocheur rapide
u1023_v4,0.7854875283446712,2.0,1.0,3.0,2,Engagé fluide
u1025_v8,0.853935860058309,5.0,0.0,3.0,1,Zappeur (replay/seek fréquents)
u1026_v5,0.13574074074074075,3.0,0.0,0.0,0,Décrocheur rapide
u1027_v12,0.42406249999999995,9.0,0.0,1.0,1,Zappeur (replay/seek fréquents)
u1027_v2,0.38629579375848033,0.0,0.0,2.0,0,Décrocheur rapide
u1027_v24,0.9857142857142857,1.0,1.0,1.0,2,Engagé fluide
u1027_v9,0.8711409395973155,4.0,0.0,2.0,1,Zappeur (replay/seek fréquents)
u1028_v1,0.49385245901639346,4.0,0.0,3.0,1,Zappeur (replay/seek fréquents)
u1028_v11,0.8321870701513068,2.0,1.0,1.0,2,Engagé fluide
u1028_v17,0.944340723453909,6.0,2.0,4.0,1,Zappeur (replay/seek fréquents)
u1028_v2,0.998371777476255,0.0,0.0,1.0,2,Engagé fluide
u1028_v25,0.7713709677419355,4.0,0.0,1.0,2,Engagé fluide
u1028_v9,0.8466442953020135,8.0,0.0,1.0,1,Zappeur (replay/seek fréquents)
u1029_v10,0.9969655172413793,4.0,0.0,1.0,2,Engagé fluide
u1029_v17,0.22026565040036739,3.0,0.0,3.0,0,Décrocheur rapide
u1029_v5,0.8988888888888888,6.0,0.0,3.0,1,Zappeur (replay/seek fréquents)
u1029_v6,0.11905829596412557,3.0,1.0,1.0,0,Décrocheur rapide
u102_v1,0.9127049180327869,4.0,1.0,2.0,1,Zappeur (replay/seek fréquents)
u102_v13,0.8611374407582938,2.0,1.0,2.0,2,Engagé fluide
u102_v14,0.8604748603351956,2.0,0.0,2.0,2,Engagé fluide
u102_v25,0.48629032258064514,3.0,0.0,1.0,2,Engagé fluide
u1031_v10,0.9649655172413794,2.0,0.0,2.0,2,Engagé fluide
u1032_v1,0.9881147540983606,4.0,1.0,4.0,1,Zappeur (replay/seek fréquents)
u1032_v2,0.919810040705563,5.0,1.0,3.0,1,Zappeur (replay/seek fréquents)
u1032_v25,0.5252016129032258,2.0,0.0,5.0,1,Zappeur (replay/seek fréquents)
u1032_v27,0.32810902896081773,1.0,1.0,5.0,0,Décrocheur rapide
u1033_v10,0.12220689655172413,2.0,2.0,1.0,3,Zappeur (replay/seek fréquents)
u1033_v17,0.020536756126021006,2.0,0.0,5.0,0,Décrocheur rapide
u1033_v2,0.06987788331071913,1.0,0.0,3.0,0,Décrocheur rapide
u1033_v20,0.06613965744400527,2.0,4.0,1.0,3,Zappeur (replay/seek fréquents)
u1033_v9,0.4298657718120805,3.0,0.0,0.0,0,Décrocheur rapide
u1034_v13,0.048815165876777256,4.0,0.0,1.0,0,Décrocheur rapide
u1034_v14,0.2608938547486034,1.0,0.0,2.0,0,Décrocheur rapide
u1034_v17,0.2865810968494749,2.0,0.0,3.0,0,Décrocheur rapide
u1034_v20,0.5889328063241107,3.0,0.0,3.0,1,Zappeur (replay/seek fréquents)
u1035_v14,0.07960893854748603,2.0,0.0,6.0,0,Décrocheur rapide
u1035_v16,0.05664556962025316,2.0,0.0,1.0,0,Décrocheur rapide
u1036_v28,0.7233564013840831,2.0,0.0,1.0,2,Engagé fluide
u1037_v19,0.5050709939148073,3.0,1.0,4.0,1,Zappeur (replay/seek fréquents)
u1037_v21,0.2449293966623877,2.0,1.0,3.0,0,Décrocheur rapide
u1037_v23,0.6836411609498682,2.0,3.0,3.0,3,Zappeur (replay/seek fréquents)
u1037_v25,0.09052419354838709,5.0,0.0,2.0,0,Décrocheur rapide
u1038_v29,0.3803833145434047,4.0,1.0,1.0,0,Décrocheur rapide
u1038_v4,0.3820861678004535,5.0,1.0,1.0,1,Zappeur (replay/seek fréquents)
u1038_v9,0.438255033557047,2.0,0.0,3.0,0,Décrocheur rapide
u1039_v4,0.10306122448979592,2.0,2.0,0.0,3,Zappeur (replay/seek fréquents)
u103_v1,0.8397540983606557,3.0,1.0,0.0,2,Engagé fluide
u103_v17,0.03570595099183197,2.0,0.0,1.0,0,Décrocheur rapide
u1040_v16,0.28924050632911397,5.0,0.0,1.0,0,Décrocheur rapide
u1040_v6,0.9695067264573991,2.0,0.0,1.0,2,Engagé fluide
u1041_v5,0.8344444444444444,5.0,1.0,4.0,1,Zappeur (replay/seek fréquents)
u1041_v7,0.8601190476190477,3.0,2.0,1.0,3,Zappeur (replay/seek fréquents)
u1042_v10,0.7626206896551724,3.0,1.0,1.0,2,Engagé fluide
u1042_v20,0.7234519104084322,4.0,0.0,2.0,1,Zappeur (replay/seek fréquents)
u1042_v22,0.5520123839009289,5.0,0.0,1.0,1,Zappeur (replay/seek fréquents)
u1043_v12,0.3355552243750529,2.0,0.0,4.0,0,Décrocheur rapide
u1043_v13,0.9135071090047393,3.0,1.0,3.0,1,Zappeur (replay/seek fréquents)
u1043_v15,0.8272606382978723,0.0,0.0,2.0,2,Engagé fluide
u1043_v23,0.9989445910290238,1.0,1.0,3.0,2,Engagé fluide
u1043_v30,0.9673652694610779,6.0,2.0,4.0,1,Zappeur (replay/seek fréquents)
u1043_v8,0.49533527696793006,1.0,0.0,2.0,0,Décrocheur rapide
u1044_v14,0.3118715083798883,4.0,0.0,1.0,0,Décrocheur rapide
u1044_v16,0.12341772151898735,1.0,1.0,3.0,0,Décrocheur rapide
u1044_v30,0.8547904191616766,6.0,2.0,0.0,3,Zappeur (replay/seek fréquents)
u1045_v24,0.4022911051212938,4.0,0.0,0.0,0,Décrocheur rapide
u1045_v3,0.7427549194991055,4.0,0.0,4.0,1,Zappeur (replay/seek fréquents)
u1045_v4,0.9005668934240362,1.0,0.0,3.0,2,Engagé fluide
u1046_v11,0.9519944979367263,1.0,2.0,0.0,3,Zappeur (replay/seek fréquents)
u1046_v29,0.10326944757609921,0.0,0.0,1.0,0,Décrocheur rapide
u1046_v6,0.9713004484304932,0.0,1.0,0.0,2,Engagé fluide
u1047_v14,0.5691340782122905,2.0,0.0,3.0,2,Engagé fluide
u1048_v18,0.09129554655870446,2.0,0.0,2.0,0,Décrocheur rapide
u1049_v1,0.20450819672131146,2.0,0.0,2.0,0,Décrocheur rapide
u1049_v29,0.48151071025930103,5.0,0.0,2.0,1,Zappeur (replay/seek fréquents)
u1049_v6,0.7349775784753364,1.0,0.0,1.0,2,Engagé fluide
u104_v1,0.057786885245901635,1.0,0.0,6.0,0,Décrocheur rapide
u104_v16,0.4534810126582279,3.0,1.0,4.0,1,Zappeur (replay/seek fréquents)
u104_v18,0.01659919028340081,2.0,1.0,5.0,0,Décrocheur rapide
u104_v21,0.923620025673941,4.0,1.0,2.0,1,Zappeur (replay/seek fréquents)
u104_v26,0.8895612708018155,0.0,0.0,3.0,2,Engagé fluide
u1050_v22,0.31207430340557274,3.0,0.0,0.0,0,Décrocheur rapide
u1051_v17,0.8133022170361727,1.0,1.0,1.0,2,Engagé fluide
u1051_v27,0.5676320272572402,4.0,0.0,0.0,2,Engagé fluide
u1051_v4,0.35646258503401357,1.0,0.0,0.0,0,Décrocheur rapide
u1051_v6,0.9017937219730942,5.0,0.0,0.0,2,Engagé fluide
u1053_v12,0.034999999999999996,2.0,0.0,4.0,0,Décrocheur rapide
u1053_v17,0.706534422403734,1.0,0.0,2.0,2,Engagé fluide
u1054_v16,0.013924050632911394,3.0,0.0,1.0,0,Décrocheur rapide
u1054_v22,0.11269349845201238,2.0,0.0,2.0,0,Décrocheur rapide
u1054_v30,0.9245508982035928,1.0,1.0,3.0,2,Engagé fluide
u1055_v11,0.14085281980742778,1.0,0.0,2.0,0,Décrocheur rapide
u1055_v14,0.9726256983240223,2.0,0.0,0.0,2,Engagé fluide
u1055_v16,0.9727848101265822,2.0,0.0,3.0,2,Engagé fluide
u1055_v20,0.16534914361001318,3.0,2.0,3.0,3,Zappeur (replay/seek fréquents)
u1055_v23,0.8263852242744063,5.0,0.0,3.0,1,Zappeur (replay/seek fréquents)
u1055_v26,0.6537065052950076,0.0,1.0,2.0,2,Engagé fluide
u1055_v3,0.9833631484794276,3.0,1.0,1.0,2,Engagé fluide
u1055_v30,0.8362275449101797,1.0,0.0,2.0,2,Engagé fluide
u1056_v12,0.215625,4.0,1.0,2.0,0,Décrocheur rapide
u1056_v28,0.12283737024221453,4.0,1.0,1.0,0,Décrocheur rapide
u1056_v5,0.7559259259259259,2.0,1.0,0.0,2,Engagé fluide
u1057_v10,0.76,7.0,0.0,1.0,1,Zappeur (replay/seek fréquents)
u1057_v18,0.11032388663967611,1.0,0.0,3.0,0,Décrocheur rapide
u1057_v20,0.7084321475625824,1.0,0.0,1.0,2,Engagé fluide
u1057_v21,0.22066752246469834,1.0,1.0,2.0,0,Décrocheur rapide
u1057_v28,0.3207612456747405,4.0,0.0,4.0,1,Zappeur (replay/seek fréquents)
u1058_v1,0.8770491803278688,3.0,0.0,2.0,2,Engagé fluide
u1058_v17,0.07234539089848308,3.0,1.0,2.0,0,Décrocheur rapide
u1058_v22,0.653250773993808,3.0,0.0,2.0,2,Engagé fluide
u1059_v13,0.9451421800947868,4.0,1.0,4.0,1,Zappeur (replay/seek fréquents)
u1059_v2,0.9127544097693352,5.0,0.0,4.0,1,Zappeur (replay/seek fréquents)
u1059_v24,0.9326145552560647,2.0,0.0,0.0,2,Engagé fluide
u1059_v25,0.53125,5.0,0.0,1.0,1,Zappeur (replay/seek fréquents)
u1059_v28,0.9486159169550172,5.0,0.0,1.0,1,Zappeur (replay/seek fréquents)
u1059_v29,0.0810597519729425,5.0,1.0,7.0,1,Zappeur (replay/seek fréquents)
u1059_v3,0.14186046511627906,2.0,2.0,2.0,3,Zappeur (replay/seek fréquents)
u105_v20,0.7797101449275362,1.0,1.0,1.0,2,Engagé fluide
u105_v24,0.5733153638814016,0.0,1.0,0.0,2,Engagé fluide
u105_v3,0.8091234347048301,3.0,0.0,3.0,2,Engagé fluide
u105_v8,0.2043731778425656,2.0,1.0,1.0,0,Décrocheur rapide
u1060_v20,0.8223978919631094,3.0,0.0,0.0,2,Engagé fluide
u1060_v30,0.3332335329341317,2.0,0.0,2.0,0,Décrocheur rapide
u1060_v5,0.965925925925926,2.0,0.0,1.0,2,Engagé fluide
u1061_v16,0.379746835443038,0.0,0.0,3.0,0,Décrocheur rapide
u1061_v25,0.5752016129032258,4.0,0.0,3.0,1,Zappeur (replay/seek fréquents)
u1061_v30,0.4655688622754491,1.0,0.0,2.0,0,Décrocheur rapide
u1062_v19,0.4231237322515213,1.0,0.0,2.0,0,Décrocheur rapide
u1062_v26,0.1161875945537065,2.0,1.0,4.0,0,Décrocheur rapide
u1062_v4,0.9777777777777777,2.0,0.0,2.0,2,Engagé fluide
u1063_v25,0.6967741935483871,3.0,0.0,0.0,2,Engagé fluide
u1063_v3,0.9618962432915922,0.0,0.0,1.0,2,Engagé fluide
u1064_v14,0.24343575418994415,1.0,0.0,0.0,0,Décrocheur rapide
u1065_v12,0.0671875,2.0,0.0,2.0,0,Décrocheur rapide
u1065_v14,0.8431564245810057,5.0,0.0,3.0,1,Zappeur (replay/seek fréquents)
u1065_v2,0.10556309362279512,3.0,0.0,0.0,0,Décrocheur rapide
u1065_v23,0.4440633245382586,5.0,1.0,5.0,1,Zappeur (replay/seek fréquents)
u1065_v8,0.787463556851312,2.0,2.0,4.0,3,Zappeur (replay/seek fréquents)
u1066_v27,0.0848381601362862,3.0,1.0,3.0,0,Décrocheur rapide
u1066_v9,0.13859060402684562,0.0,0.0,2.0,0,Décrocheur rapide
u1067_v12,0.2046875,2.0,0.0,1.0,0,Décrocheur rapide
u1067_v29,0.8352874859075535,2.0,2.0,2.0,3,Zappeur (replay/seek fréquents)
u1068_v29,0.13010146561443067,2.0,0.0,1.0,0,Décrocheur rapide
u1069_v21,0.2331193838254172,2.0,0.0,1.0,0,Décrocheur rapide
u106_v15,0.08058510638297872,3.0,0.0,2.0,0,Décrocheur rapide
u106_v18,0.41417004048582995,2.0,0.0,1.0,0,Décrocheur rapide
u106_v4,0.058503401360544216,3.0,0.0,3.0,0,Décrocheur rapide
u106_v9,0.087248322147651,0.0,1.0,1.0,0,Décrocheur rapide
u1070_v13,0.8631516587677726,2.0,0.0,0.0,2,Engagé fluide
u1070_v21,0.14338896020539152,2.0,0.0,3.0,0,Décrocheur rapide
u1070_v24,0.05673854447439353,1.0,1.0,1.0,0,Décrocheur rapide
u1070_v29,0.47237880496054113,5.0,0.0,3.0,1,Zappeur (replay/seek fréquents)
u1070_v5,0.1935185185185185,3.0,0.0,1.0,0,Décrocheur rapide
u1071_v18,0.4325910931174089,0.0,0.0,3.0,0,Décrocheur rapide
u1071_v30,0.42035928143712575,6.0,4.0,3.0,3,Zappeur (replay/seek fréquents)
u1071_v6,0.5210762331838565,3.0,0.0,3.0,1,Zappeur (replay/seek fréquents)
u1071_v8,0.5274052478134111,1.0,1.0,1.0,2,Engagé fluide
u1072_v23,0.33667546174142476,2.0,1.0,3.0,0,Décrocheur rapide
u1072_v25,0.30100806451612905,1.0,1.0,2.0,0,Décrocheur rapide
u1072_v26,0.13010590015128592,3.0,1.0,2.0,0,Décrocheur rapide
u1072_v27,0.6323679727427598,3.0,2.0,2.0,3,Zappeur (replay/seek fréquents)
u1073_v12,0.20437500000000003,0.0,2.0,2.0,3,Zappeur (replay/seek fréquents)
u1073_v17,0.6911318553092182,2.0,0.0,2.0,2,Engagé fluide
u1073_v30,0.3958083832335329,5.0,0.0,0.0,0,Décrocheur rapide
u1073_v4,0.32414965986394556,0.0,0.0,4.0,0,Décrocheur rapide
u1074_v1,0.8516393442622952,1.0,0.0,0.0,2,Engagé fluide
u1074_v21,0.14813863928112966,1.0,0.0,3.0,0,Décrocheur rapide
u1074_v3,0.5769230769230769,3.0,0.0,0.0,2,Engagé fluide
u1075_v28,0.9288927335640138,3.0,0.0,3.0,2,Engagé fluide
u1075_v7,0.8855158730158731,4.0,0.0,6.0,1,Zappeur (replay/seek fréquents)
u1076_v14,0.8006983240223463,6.0,2.0,0.0,3,Zappeur (replay/seek fréquents)
u1076_v17,0.9023337222870478,5.0,4.0,2.0,3,Zappeur (replay/seek fréquents)
u1076_v18,0.8755060728744939,6.0,0.0,4.0,1,Zappeur (replay/seek fréquents)
u1076_v27,0.5797274275979557,0.0,0.0,3.0,2,Engagé fluide
u1076_v3,0.8534883720930233,3.0,0.0,4.0,1,Zappeur (replay/seek fréquents)
u1076_v30,0.08712574850299401,4.0,0.0,1.0,0,Décrocheur rapide
u1077_v17,0.8306884480746791,4.0,0.0,4.0,1,Zappeur (replay/seek fréquents)
u1077_v26,0.6794251134644479,2.0,1.0,3.0,2,Engagé fluide
u1077_v5,0.14574074074074075,4.0,2.0,3.0,3,Zappeur (replay/seek fréquents)
u1078_v12,0.73125,4.0,0.0,1.0,2,Engagé fluide
u1078_v13,0.8376777251184834,3.0,1.0,3.0,1,Zappeur (replay/seek fréquents)
u1078_v21,0.43915275994865216,4.0,0.0,4.0,1,Zappeur (replay/seek fréquents)
u1078_v24,0.12668463611859837,2.0,1.0,1.0,0,Décrocheur rapide
u1079_v1,0.2389344262295082,5.0,0.0,4.0,1,Zappeur (replay/seek fréquents)
u1079_v18,0.8477732793522268,3.0,3.0,1.0,3,Zappeur (replay/seek fréquents)
u1079_v21,0.13851091142490374,2.0,0.0,3.0,0,Décrocheur rapide
u1079_v23,0.9026385224274407,5.0,1.0,0.0,2,Engagé fluide
u1079_v5,0.12481481481481482,3.0,0.0,1.0,0,Décrocheur rapide
u107_v1,0.01762295081967213,4.0,0.0,2.0,0,Décrocheur rapide
u107_v10,0.9942068965517241,4.0,0.0,4.0,1,Zappeur (replay/seek fréquents)
u107_v21,0.8726572528883183,0.0,0.0,4.0,2,Engagé fluide
u107_v7,0.5615079365079365,0.0,0.0,3.0,2,Engagé fluide
u1080_v10,0.396,3.0,1.0,5.0,1,Zappeur (replay/seek fréquents)
u1080_v2,0.9350067842605156,5.0,6.0,2.0,3,Zappeur (replay/seek fréquents)
u1080_v5,0.7292592592592593,3.0,0.0,2.0,2,Engagé fluide
u1081_v12,0.9928125,5.0,0.0,3.0,1,Zappeur (replay/seek fréquents)
u1081_v13,0.7584123222748815,3.0,0.0,0.0,2,Engagé fluide
u1081_v2,0.9567164179104478,0.0,0.0,0.0,2,Engagé fluide
u1081_v22,0.6538699690402476,4.0,0.0,2.0,1,Zappeur (replay/seek fréquents)
u1081_v27,0.3120954003407155,4.0,0.0,1.0,0,Décrocheur rapide
u1082_v14,0.525,3.0,3.0,1.0,3,Zappeur (replay/seek fréquents)
u1082_v3,0.6756708407871198,4.0,1.0,3.0,1,Zappeur (replay/seek fréquents)
u1082_v5,0.980925925925926,5.0,0.0,2.0,1,Zappeur (replay/seek fréquents)
u1083_v1,0.5241803278688525,5.0,1.0,1.0,1,Zappeur (replay/seek fréquents)
u1083_v23,0.8456464379947229,1.0,1.0,4.0,2,Engagé fluide
u1083_v25,0.3683467741935484,2.0,0.0,0.0,0,Décrocheur rapide
u1083_v27,0.9986371379897786,2.0,2.0,1.0,3,Zappeur (replay/seek fréquents)
u1083_v9,0.8953020134228188,4.0,0.0,4.0,1,Zappeur (replay/seek fréquents)
u1084_v13,0.7688388625592417,3.0,0.0,2.0,2,Engagé fluide
u1084_v20,0.33649538866930173,3.0,1.0,0.0,0,Décrocheur rapide
u1085_v1,0.9069672131147541,4.0,1.0,3.0,1,Zappeur (replay/seek fréquents)
u1085_v12,0.81375,5.0,1.0,1.0,1,Zappeur (replay/seek fréquents)
u1085_v15,0.8175531914893617,3.0,0.0,0.0,2,Engagé fluide
u1085_v16,0.01139240506329114,3.0,1.0,1.0,0,Décrocheur rapide
u1086_v20,0.11910408432147564,4.0,0.0,1.0,0,Décrocheur rapide
u1086_v23,0.5073878627968338,1.0,0.0,2.0,2,Engagé fluide
u1087_v25,0.49858870967741936,2.0,2.0,1.0,3,Zappeur (replay/seek fréquents)
u1088_v18,0.6979757085020243,4.0,2.0,4.0,3,Zappeur (replay/seek fréquents)
u1088_v25,0.9449596774193548,2.0,2.0,0.0,3,Zappeur (replay/seek fréquents)
u1089_v10,0.6772413793103448,0.0,1.0,2.0,2,Engagé fluide
u1089_v24,0.06765498652291106,4.0,0.0,3.0,0,Décrocheur rapide
u108_v16,0.9579545861501646,7.0,0.0,1.0,1,Zappeur (replay/seek fréquents)
u108_v23,0.3469656992084433,1.0,2.0,2.0,3,Zappeur (replay/seek fréquents)
u108_v27,0.6003407155025553,2.0,1.0,0.0,2,Engagé fluide
u108_v4,0.9959183673469387,0.0,2.0,0.0,3,Zappeur (replay/seek fréquents)
u1090_v19,0.9961460446247465,3.0,0.0,2.0,2,Engagé fluide
u1090_v28,0.9347750865051903,2.0,1.0,0.0,2,Engagé fluide
u1090_v7,0.03948412698412698,0.0,0.0,1.0,0,Décrocheur rapide
u1091_v10,0.8201379310344827,2.0,0.0,3.0,2,Engagé fluide
u1091_v27,0.5635434412265758,2.0,0.0,1.0,2,Engagé fluide
u1091_v28,0.9006920415224914,3.0,0.0,1.0,2,Engagé fluide
u1093_v10,0.7037241379310345,7.0,0.0,5.0,1,Zappeur (replay/seek fréquents)
u1093_v25,0.01471774193548387,3.0,0.0,0.0,0,Décrocheur rapide
u1093_v6,0.7219730941704036,1.0,1.0,2.0,2,Engagé fluide
u1094_v1,0.4471311475409836,0.0,1.0,2.0,0,Décrocheur rapide
u1094_v28,0.2401234470238912,2.0,1.0,1.0,0,Décrocheur rapide
u1094_v29,0.1374295377677565,3.0,0.0,4.0,0,Décrocheur rapide
u1095_v1,0.055327868852459015,1.0,0.0,3.0,0,Décrocheur rapide
u1095_v11,0.5247592847317745,2.0,0.0,1.0,2,Engagé fluide
u1095_v13,0.7900473933649289,0.0,0.0,2.0,2,Engagé fluide
u1096_v15,0.32885638297872344,4.0,0.0,2.0,0,Décrocheur rapide
u1096_v3,0.6738819320214668,2.0,0.0,5.0,1,Zappeur (replay/seek fréquents)
u1096_v30,0.3706586826347305,2.0,0.0,2.0,0,Décrocheur rapide
u1096_v4,0.10748299319727891,1.0,1.0,2.0,0,Décrocheur rapide
u1098_v17,0.6504084014002334,2.0,1.0,2.0,2,Engagé fluide
u1098_v25,0.9703629032258064,3.0,1.0,2.0,2,Engagé fluide
u1099_v13,0.3732227488151659,2.0,0.0,1.0,0,Décrocheur rapide
u1099_v24,0.11185983827493262,2.0,0.0,2.0,0,Décrocheur rapide
u1099_v28,0.65,3.0,0.0,1.0,2,Engagé fluide
u109_v20,0.8201581027667985,0.0,1.0,1.0,2,Engagé fluide
u109_v29,0.09131905298759865,4.0,2.0,3.0,3,Zappeur (replay/seek fréquents)
u109_v30,0.8134730538922156,2.0,1.0,1.0,2,Engagé fluide
u10_v14,0.11634078212290502,2.0,3.0,1.0,3,Zappeur (replay/seek fréquents)
u10_v24,0.9766846361185985,2.0,2.0,4.0,3,Zappeur (replay/seek fréquents)
u1100_v16,0.3674050632911392,3.0,1.0,2.0,0,Décrocheur rapide
u1100_v19,0.9030425963488844,1.0,0.0,1.0,2,Engagé fluide
u1100_v26,0.8910741301059002,6.0,3.0,4.0,3,Zappeur (replay/seek fréquents)
u1101_v2,0.04640434192672999,3.0,1.0,2.0,0,Décrocheur rapide
u1101_v28,0.35709342560553636,3.0,2.0,0.0,3,Zappeur (replay/seek fréquents)
u1101_v6,0.8356502242152466,3.0,0.0,2.0,2,Engagé fluide
u1102_v1,0.9836065573770492,6.0,0.0,1.0,1,Zappeur (replay/seek fréquents)
u1102_v13,0.9548578199052132,2.0,0.0,1.0,2,Engagé fluide
u1102_v19,0.9271805273833672,1.0,0.0,1.0,2,Engagé fluide
u1102_v21,0.11386392811296535,4.0,0.0,4.0,0,Décrocheur rapide
u1103_v21,0.28844672657252884,2.0,0.0,2.0,0,Décrocheur rapide
