session_id,video_id,n_events,speed_ratio,anomalie_vitesse,regularite_anormale,sans_interaction_video_longue,non_exploitable
s000216,v17,9,1.0,False,False,False,False
s000217,v7,6,1.0,False,False,False,False
s000218,v15,8,1.0,False,False,False,False
s000219,v25,6,1.0,False,False,False,False
s000220,v13,7,1.0,False,False,False,False
s000221,v18,7,1.0,False,False,False,False
s000222,v19,8,1.0,False,False,False,False
s000223,v22,13,1.0,False,False,False,False
s000224,v15,6,1.0,False,False,False,False
s000225,v2,5,1.0,False,False,False,False
s000226,v25,5,1.0,False,False,False,False
s000227,v20,8,1.0,False,False,False,False
s000228,v20,6,1.0,False,False,False,False
s000229,v17,6,1.0,False,False,False,False
s000230,v30,6,1.0,False,False,False,False
s000231,v28,9,1.0,False,False,False,False
s000232,v18,9,1.0,False,False,False,False
s000233,v10,5,1.0,False,False,False,False
s000234,v16,6,1.0,False,False,False,False
s000235,v27,7,1.0,False,False,False,False
s000236,v1,3,1.0,False,False,False,False
s000237,v11,7,1.0,False,False,False,False
s000238,v3,6,1.0,False,False,False,False
s000239,v21,11,1.0,False,False,False,False
s000240,v2,7,1.0,False,False,False,False
s000241,v16,5,1.0,False,False,False,False
s000242,v19,2,1.0,False,False,True,True
s000243,v28,6,1.0,False,False,False,False
s000244,v14,12,1.0,False,False,False,False
s000245,v25,6,1.0,False,False,False,False
s000246,v6,5,1.0,False,False,False,False
s000247,v21,10,1.0,False,False,False,False
s000248,v22,8,1.0,False,False,False,False
s000249,v23,7,1.0,False,False,False,False
s000250,v25,7,1.0,False,False,False,False
s000251,v19,4,1.0,False,False,False,False
s000252,v27,6,1.0,False,False,False,False
s000253,v3,9,1.0,False,False,False,False
s000254,v18,6,1.0,False,False,False,False
s000255,v18,8,1.0,False,False,False,False
s000256,v22,5,1.0,False,False,False,False
s000257,v19,6,0.62,False,False,False,False
s000258,v20,4,1.0,False,False,False,False
s000259,v23,10,1.0,False,False,False,False
s000260,v9,2,1.0,False,False,False,False
s000261,v29,10,1.0,False,False,False,False
s000262,v17,7,1.0,False,False,False,False
s000263,v28,6,1.0,False,False,False,False
s000264,v28,6,1.0,False,False,False,False
s000265,v27,10,1.0,False,False,False,False
s000266,v30,6,1.0,False,False,False,False
s000267,v11,6,1.0,False,False,False,False
s000268,v21,7,1.0,False,False,False,False
s000269,v18,7,1.0,False,False,False,False
s000270,v22,5,1.0,False,False,False,False
s000271,v24,5,1.0,False,False,False,False
s000272,v27,7,1.0,False,False,False,False
s000273,v20,5,1.0,False,False,False,False
s000274,v21,6,1.0,False,False,False,False
s000275,v23,5,1.0,False,False,False,False
s000276,v30,15,1.0,False,False,False,False
s000277,v22,5,1.0,False,False,False,False
s000278,v6,6,1.0,False,False,False,False
s000279,v23,6,1.0,False,False,False,False
s000280,v5,8,1.0,False,False,False,False
s000281,v23,6,1.0,False,False,False,False
s000282,v26,5,1.0,False,False,False,False
s000283,v27,8,1.0,False,False,False,False
s000284,v6,6,1.0,False,False,False,False
s000285,v7,4,1.0,False,False,False,False
s000286,v15,5,1.0,False,False,False,False
s000287,v17,5,1.0,False,False,False,False
s000288,v7,6,0.83,False,False,False,False
s000289,v10,5,1.0,False,False,False,False
s000290,v28,5,1.0,False,False,False,False
s000291,v14,13,1.0,False,False,False,False
s000292,v17,6,1.0,False,False,False,False
s000293,v26,11,1.0,False,False,False,False
s000294,v13,5,1.0,False,False,False,False
s000295,v28,6,1.0,False,False,False,False
s000296,v5,6,1.0,False,False,False,False
s000297,v7,9,1.0,False,False,False,False
s000298,v5,10,1.0,False,False,False,False
s000299,v13,9,1.0,False,False,False,False
s000300,v14,6,1.0,False,False,False,False
s000301,v5,8,1.0,False,False,False,False
s000302,v1,6,1.0,False,False,False,False
s000303,v27,9,1.0,False,False,False,False
s000304,v13,5,1.0,False,False,False,False
s000305,v6,4,1.0,False,False,False,False
s000306,v9,8,1.0,False,False,False,False
s000307,v18,8,1.0,False,False,False,False
s000308,v16,8,1.0,False,False,False,False
s000309,v27,7,1.0,False,False,False,False
s000310,v16,8,1.0,False,False,False,False
s000311,v4,5,1.0,False,False,False,False
s000312,v9,8,1.0,False,False,False,False
s000313,v20,8,1.0,False,False,False,False
s000314,v26,13,1.0,False,False,False,False
s000315,v3,4,1.0,False,False,False,False
s000316,v29,10,1.0,False,False,False,False
s000317,v7,11,1.0,False,False,False,False
s000318,v28,4,1.0,False,False,False,False
s000319,v8,11,1.0,False,False,False,False
s000320,v17,13,1.0,False,False,False,False
s000321,v17,6,1.0,False,False,False,False
s000322,v1,6,1.0,False,False,False,False
s000323,v3,6,1.0,False,False,False,False
s000324,v12,10,0.75,False,False,False,False
s000325,v12,5,1.0,False,False,False,False
s000326,v26,9,1.0,False,False,False,False
s000327,v9,9,1.0,False,False,False,False
s000328,v13,6,1.0,False,False,False,False
s000329,v30,8,1.0,False,False,False,False
s000330,v5,5,1.0,False,False,False,False
s000331,v23,7,1.0,False,False,False,False
s000332,v6,8,1.0,False,False,False,False
s000333,v11,7,0.91,False,False,False,False
s000334,v22,11,1.0,False,False,False,False
s000335,v12,6,1.0,False,False,False,False
s000336,v13,8,0.9,False,False,False,False
s000337,v3,3,1.0,False,False,False,False
s000338,v5,9,1.0,False,False,False,False
s000339,v16,10,1.0,False,False,False,False
s000340,v15,7,0.95,False,False,False,False
s000341,v25,10,1.0,False,False,False,False
s000342,v16,10,1.0,False,False,False,False
s000343,v23,6,1.0,False,False,False,False
s000344,v2,10,1.0,False,False,False,False
s000345,v17,11,1.0,False,False,False,False
s000346,v1,13,1.0,False,False,False,False
s000347,v22,6,1.0,False,False,False,False
s000348,v22,11,1.0,False,False,False,False
s000349,v23,6,1.0,False,False,False,False
s000350,v12,5,1.0,False,False,False,False
s000351,v24,5,1.0,False,False,False,False
s000352,v4,8,1.0,False,False,False,False
s000353,v26,4,1.0,False,False,False,False
s000354,v30,5,1.0,False,False,False,False
s000355,v25,8,1.0,False,False,False,False
s000356,v23,7,1.0,False,False,False,False
s000357,v8,4,0.77,False,False,False,False
s000358,v23,5,1.0,False,False,False,False
s000359,v10,6,1.0,False,False,False,False
s000360,v18,9,1.0,False,False,False,False
s000361,v13,7,1.0,False,False,False,False
s000362,v30,8,1.0,False,False,False,False
s000363,v5,11,1.0,False,False,False,False
s000364,v26,8,1.0,False,False,False,False
s000365,v18,5,1.0,False,False,False,False
s000366,v8,9,1.0,False,False,False,False
s000367,v14,6,1.0,False,False,False,False
s000368,v30,3,0.99,False,False,False,False
s000369,v11,6,2.72,False,False,False,False
s000370,v6,9,1.0,False,False,False,False
s000371,v5,9,1.0,False,False,False,False
s000372,v9,10,1.0,False,False,False,False
s000373,v26,7,1.0,False,False,False,False
s000374,v19,6,1.0,False,False,False,False
s000375,v17,4,1.0,False,False,False,False
s000376,v19,10,0.97,False,False,False,False
s000377,v26,8,1.0,False,False,False,False
s000378,v28,5,1.0,False,False,False,False
s000379,v11,5,1.0,False,False,False,False
s000380,v10,10,1.0,False,False,False,False
s000381,v25,8,1.0,False,False,False,False
s000382,v5,10,1.0,False,False,False,False
s000383,v20,7,1.0,False,False,False,False
s000384,v25,8,1.0,False,False,False,False
s000385,v16,10,1.0,False,False,False,False
s000386,v27,4,1.0,False,False,False,False
s000387,v26,7,1.0,False,False,False,False
s000388,v18,8,1.0,False,False,False,False
s000389,v26,9,1.0,False,False,False,False
s000390,v23,6,1.0,False,False,False,False
s000391,v12,7,1.0,False,False,False,False
s000392,v3,6,1.0,False,False,False,False
s000393,v20,6,1.0,False,False,False,False
s000394,v17,5,1.0,False,False,False,False
s000395,v15,5,1.0,False,False,False,False
s000396,v21,4,1.0,False,False,False,False
s000397,v6,6,1.0,False,False,False,False
s000398,v24,2,1.0,False,False,True,True
s000399,v18,12,1.0,False,False,False,False
s000400,v2,4,1.0,False,False,False,False
s000401,v5,6,1.0,False,False,False,False
s000402,v13,6,1.0,False,False,False,False
s000403,v29,13,1.0,False,False,False,False
s000404,v7,4,1.0,False,False,False,False
s000405,v11,8,1.0,False,False,False,False
s000406,v24,7,1.0,False,False,False,False
s000407,v24,8,1.0,False,False,False,False
s000408,v18,7,1.0,False,False,False,False
s000409,v22,6,1.0,False,False,False,False
s000410,v9,8,1.0,False,False,False,False
s000411,v6,9,1.0,False,False,False,False
s000412,v19,3,1.0,False,False,False,False
s000413,v19,7,1.0,False,False,False,False
s000414,v10,8,1.0,False,False,False,False
s000415,v17,7,1.0,False,False,False,False
s000416,v24,8,1.0,False,False,False,False
s000417,v16,9,1.0,False,False,False,False
s000418,v12,4,1.0,False,False,False,False
s000419,v2,7,1.0,False,False,False,False
s000420,v11,6,1.0,False,False,False,False
s000421,v22,11,1.0,False,False,False,False
s000422,v17,9,1.0,False,False,False,False
s000423,v29,12,1.0,False,False,False,False
s000424,v25,3,1.0,False,False,False,False
s000425,v16,9,1.0,False,False,False,False
s000426,v29,9,1.0,False,False,False,False
s000427,v22,6,1.0,False,False,False,False
s000428,v12,12,1.0,False,False,False,False
s000429,v6,10,1.0,False,False,False,False
s000430,v17,9,1.0,False,False,False,False
s000431,v7,5,1.0,False,False,False,False
s000432,v25,8,1.0,False,False,False,False
s000433,v3,7,1.0,False,False,False,False
s000434,v28,4,1.0,False,False,False,False
s000435,v25,9,1.0,False,False,False,False
s000436,v18,7,1.0,False,False,False,False
s000437,v10,5,1.0,False,False,False,False
s000438,v4,6,1.0,False,False,False,False
s000439,v6,13,1.0,False,False,False,False
s000440,v21,8,1.0,False,False,False,False
s000441,v11,8,1.0,False,False,False,False
s000442,v26,7,1.0,False,False,False,False
s000443,v14,4,1.0,False,False,False,False
s000444,v15,8,1.0,False,False,False,False
s000445,v19,10,1.0,False,False,False,False
s000446,v27,8,1.0,False,False,False,False
s000447,v7,5,1.0,False,False,False,False
s000448,v9,8,1.0,False,False,False,False
s000449,v9,5,1.0,False,False,False,False
s000450,v22,3,1.0,False,False,False,False
s000451,v29,4,1.0,False,False,False,False
s000452,v16,5,0.65,False,False,False,False
s000453,v11,8,1.0,False,False,False,False
s000454,v23,7,1.0,False,False,False,False
s000455,v14,5,1.0,False,False,False,False
s000456,v21,5,1.0,False,False,False,False
s000457,v27,7,1.0,False,False,False,False
s000458,v20,7,1.0,False,False,False,False
s000459,v17,7,1.49,False,False,False,False
s000460,v22,9,1.0,False,False,False,False
s000461,v9,8,1.0,False,False,False,False
s000462,v12,4,2.86,False,False,False,False
s000463,v12,6,1.0,False,False,False,False
s000464,v24,4,1.0,False,False,False,False
s000465,v20,5,1.0,False,False,False,False
s000466,v7,3,1.0,False,False,False,False
s000467,v3,6,1.0,False,False,False,False
s000468,v23,9,1.0,False,False,False,False
s000469,v24,5,1.0,False,False,False,False
s000470,v13,8,1.0,False,False,False,False
s000471,v25,9,1.0,False,False,False,False
s000472,v24,7,1.0,False,False,False,False
s000473,v2,6,1.0,False,False,False,False
s000474,v11,8,1.0,False,False,False,False
s000475,v15,7,1.0,False,False,False,False
s000476,v19,9,1.0,False,False,False,False
s000477,v17,10,1.0,False,False,False,False
s000478,v19,6,1.0,False,False,False,False
s000479,v9,9,1.0,False,False,False,False
s000480,v9,8,1.0,False,False,False,False
s000481,v12,9,1.0,False,False,False,False
s000482,v8,5,1.0,False,False,False,False
s000483,v10,9,1.0,False,False,False,False
s000484,v29,8,1.0,False,False,False,False
s000485,v19,8,1.0,False,False,False,False
s000486,v25,4,1.0,False,False,False,False
s000487,v29,9,1.0,False,False,False,False
s000488,v24,8,1.0,False,False,False,False
s000489,v26,8,1.0,False,False,False,False
s000490,v14,13,1.0,False,False,False,False
s000491,v20,5,1.0,False,False,False,False
s000492,v17,7,1.0,False,False,False,False
s000493,v30,8,1.0,False,False,False,False
s000494,v20,6,1.0,False,False,False,False
s000495,v12,6,1.0,False,False,False,False
s000496,v10,7,0.96,False,False,False,False
s000497,v8,6,1.0,False,False,False,False
s000498,v8,6,1.0,False,False,False,False
s000499,v24,8,1.0,False,False,False,False
s000500,v24,8,1.0,False,False,False,False
s000501,v8,14,1.0,False,False,False,False
s000502,v22,12,1.0,False,False,False,False
s000503,v5,7,1.01,False,False,False,False
s000504,v2,7,1.0,False,False,False,False
s000505,v13,9,1.0,False,False,False,False
s000506,v10,7,1.0,False,False,False,False
s000507,v21,6,1.0,False,False,False,False
s000508,v21,8,1.0,False,False,False,False
s000509,v17,5,1.0,False,False,False,False
s000510,v24,6,1.0,False,False,False,False
s000511,v5,9,1.0,False,False,False,False
s000512,v3,5,1.0,False,False,False,False
s000513,v11,6,1.0,False,False,False,False
s000514,v3,6,1.0,False,False,False,False
s000515,v21,8,1.0,False,False,False,False
s000516,v7,6,1.01,False,False,False,False
s000517,v30,10,1.0,False,False,False,False
s000518,v23,8,1.0,False,False,False,False
s000519,v10,7,1.0,False,False,False,False
s000520,v13,4,1.0,False,False,False,False
s000521,v10,9,1.0,False,False,False,False
s000522,v5,9,1.0,False,False,False,False
s000523,v13,4,1.0,False,False,False,False
s000524,v21,11,1.0,False,False,False,False
s000525,v21,6,1.0,False,False,False,False
s000526,v6,3,1.0,False,False,False,False
s000527,v1,4,1.0,False,False,False,False
s000528,v22,10,1.0,False,False,False,False
s000529,v7,4,1.0,False,False,False,False
s000530,v10,7,1.0,False,False,False,False
s000531,v30,5,1.0,False,False,False,False
s000532,v30,6,1.0,False,False,False,False
s000533,v23,5,1.0,False,False,False,False
s000534,v22,10,1.0,False,False,False,False
s000535,v5,9,1.0,False,False,False,False
s000536,v11,5,1.0,False,False,False,False
s000537,v17,8,1.0,False,False,False,False
s000538,v2,4,1.0,False,False,False,False
s000539,v23,2,1.0,False,False,True,True
s000540,v11,5,1.0,False,False,False,False
s000541,v21,8,1.0,False,False,False,False
s000542,v23,8,2.85,False,False,False,False
s000543,v10,8,1.0,False,False,False,False
s000544,v27,4,1.0,False,False,False,False
s000545,v22,14,1.0,False,False,False,False
s000546,v9,6,1.0,False,False,False,False
s000547,v13,5,0.94,False,False,False,False
s000548,v6,6,1.0,False,False,False,False
s000549,v12,4,1.0,False,False,False,False
s000550,v16,7,1.0,False,False,False,False
s000551,v11,2,1.0,False,False,False,False
s000552,v16,8,1.0,False,False,False,False
s000553,v21,5,1.0,False,False,False,False
s000554,v20,4,1.0,False,False,False,False
s000555,v7,6,1.0,False,False,False,False
s000556,v4,10,1.0,False,False,False,False
s000557,v13,6,1.0,False,False,False,False
s000558,v23,5,1.0,False,False,False,False
s000559,v25,8,1.0,False,False,False,False
s000560,v19,7,1.0,False,False,False,False
s000561,v2,10,1.0,False,False,False,False
s000562,v15,9,1.0,False,False,False,False
s000563,v6,8,1.0,False,False,False,False
s000564,v2,7,1.0,False,False,False,False
s000565,v1,5,1.0,False,False,False,False
s000566,v11,6,1.0,False,False,False,False
s000567,v29,8,1.0,False,False,False,False
s000568,v28,6,1.0,False,False,False,False
s000569,v8,5,1.0,False,False,False,False
s000570,v23,6,1.0,False,False,False,False
s000571,v28,6,2.04,False,False,False,False
s000572,v15,8,1.0,False,False,False,False
s000573,v10,5,1.0,False,False,False,False
s000574,v25,7,1.0,False,False,False,False
s000575,v2,4,1.0,False,False,False,False
s000576,v7,6,1.0,False,False,False,False
s000577,v1,9,1.0,False,False,False,False
s000578,v1,7,1.0,False,False,False,False
s000579,v22,15,1.0,False,False,False,False
s000580,v8,7,0.98,False,False,False,False
s000581,v22,8,1.0,False,False,False,False
s000582,v9,7,1.0,False,False,False,False
s000583,v11,4,1.0,False,False,False,False
s000584,v28,6,1.0,False,False,False,False
s000585,v14,4,1.0,False,False,False,False
s000586,v21,3,1.0,False,False,False,False
s000587,v13,5,0.78,False,False,False,False
s000588,v14,8,1.0,False,False,False,False
s000589,v27,6,1.0,False,False,False,False
s000590,v4,10,1.0,False,False,False,False
s000591,v14,5,1.0,False,False,False,False
s000592,v7,5,1.0,False,False,False,False
s000593,v21,6,1.0,False,False,False,False
s000594,v5,5,1.0,False,False,False,False
s000595,v14,9,1.0,False,False,False,False
s000596,v26,7,1.0,False,False,False,False
s000597,v18,8,1.0,False,False,False,False
s000598,v18,10,1.0,False,False,False,False
s000599,v27,5,1.0,False,False,False,False
s000600,v5,6,1.0,False,False,False,False
s000601,v12,4,1.0,False,False,False,False
s000602,v14,10,1.0,False,False,False,False
s000603,v7,7,1.0,False,False,False,False
s000604,v17,8,1.0,False,False,False,False
s000605,v23,9,1.0,False,False,False,False
s000606,v22,7,1.0,False,False,False,False
s000607,v14,8,1.0,False,False,False,False
s000608,v24,5,1.0,False,False,False,False
s000609,v22,3,1.0,False,False,False,False
s000610,v12,10,1.0,False,False,False,False
s000611,v10,4,1.0,False,False,False,False
s000612,v4,4,1.0,False,False,False,False
s000613,v21,11,1.0,False,False,False,False
s000614,v19,9,1.0,False,False,False,False
s000615,v3,6,1.0,False,False,False,False
s000616,v24,7,1.0,False,False,False,False
s000617,v21,8,1.0,False,False,False,False
s000618,v29,5,1.0,False,False,False,False
s000619,v9,9,1.0,False,False,False,False
s000620,v24,6,1.0,False,False,False,False
s000621,v9,6,1.0,False,False,False,False
s000622,v17,5,1.0,False,False,False,False
s000623,v6,5,1.0,False,False,False,False
s000624,v13,8,1.0,False,False,False,False
s000625,v26,8,2.81,False,False,False,False
s000626,v3,9,1.0,False,False,False,False
s000627,v30,7,1.0,False,False,False,False
s000628,v12,9,1.0,False,False,False,False
s000629,v14,5,1.0,False,False,False,False
s000630,v1,10,1.0,False,False,False,False
s000631,v10,5,1.0,False,False,False,False
s000632,v15,5,1.0,False,False,False,False
s000633,v19,5,1.0,False,False,False,False
s000634,v24,10,1.0,False,False,False,False
s000635,v21,9,1.0,False,False,False,False
s000636,v16,8,1.0,False,False,False,False
s000637,v19,5,1.0,False,False,False,False
s000638,v10,11,1.0,False,False,False,False
s000639,v12,9,1.0,False,False,False,False
s000640,v7,5,1.0,False,False,False,False
s000641,v1,12,1.0,False,False,False,False
s000642,v27,12,1.0,False,False,False,False
s000643,v7,7,1.0,False,False,False,False
s000644,v28,9,1.0,False,False,False,False
s000645,v2,9,1.0,False,False,False,False
s000646,v18,12,1.0,False,False,False,False
s000647,v6,8,1.0,False,False,False,False
s000648,v12,4,1.0,False,False,False,False
s000649,v9,4,0.92,False,False,False,False
s000650,v18,5,1.0,False,False,False,False
s000651,v10,7,1.0,False,False,False,False
s000652,v9,10,1.0,False,False,False,False
s000653,v30,4,1.0,False,False,False,False
s000654,v17,7,1.0,False,False,False,False
s000655,v8,8,1.0,False,False,False,False
s000656,v3,6,1.0,False,False,False,False
s000657,v30,11,1.0,False,False,False,False
s000658,v28,9,1.0,False,False,False,False
s000659,v12,6,1.0,False,False,False,False
s000660,v9,9,1.0,False,False,False,False
s000661,v19,3,1.0,False,False,False,False
